order_id,order_date
1,2025-07-05
2,2025-07-04
3,2025-07-14
4,2025-07-10
5,2025-07-15
6,2025-07-09
7,2025-07-11
8,2025-07-11
9,2025-07-12
10,2025-07-03
11,2025-07-01
12,2025-07-08
13,2025-07-09
14,2025-07-13
15,2025-07-01
16,2025-07-10
17,2025-07-01
18,2025-07-06
19,2025-07-01
20,2025-07-15
21,2025-07-02
22,2025-07-09
23,2025-07-14
24,2025-07-12
25,2025-07-02
26,2025-07-03
27,2025-07-15
28,2025-07-11
29,2025-07-14
30,2025-07-10
31,2025-07-03
32,2025-07-15
33,2025-07-04
34,2025-07-12
35,2025-07-09
36,2025-07-01
37,2025-07-04
38,2025-07-08
39,2025-07-14
40,2025-07-05
41,2025-07-05
42,2025-07-10
43,2025-07-04
44,2025-07-07
45,2025-07-08
46,2025-07-07
47,2025-07-04
48,2025-07-09
49,2025-07-02
50,2025-07-02
51,2025-07-11
52,2025-07-15
53,2025-07-14
54,2025-07-06
55,2025-07-10
56,2025-07-04
57,2025-07-14
58,2025-07-15
59,2025-07-08
60,2025-07-10
61,2025-07-14
62,2025-07-04
63,2025-07-07
64,2025-07-06
65,2025-07-12
66,2025-07-09
67,2025-07-13
68,2025-07-07
69,2025-07-13
70,2025-07-15
71,2025-07-08
72,2025-07-04
73,2025-07-15
74,2025-07-10
75,2025-07-09
76,2025-07-05
77,2025-07-14
78,2025-07-10
79,2025-07-11
80,2025-07-07
81,2025-07-09
82,2025-07-02
83,2025-07-14
84,2025-07-09
85,2025-07-01
86,2025-07-10
87,2025-07-12
88,2025-07-10
89,2025-07-05
90,2025-07-08
91,2025-07-07
92,2025-07-08
93,2025-07-09
94,2025-07-02
95,2025-07-07
96,2025-07-06
97,2025-07-05
98,2025-07-12
99,2025-07-14
100,2025-07-10
