order_id,order_date
1,2025-07-02
2,2025-07-04
3,2025-07-10
4,2025-07-08
5,2025-07-08
6,2025-07-03
7,2025-07-04
8,2025-07-03
9,2025-07-13
10,2025-07-01
11,2025-07-08
12,2025-07-05
13,2025-07-04
14,2025-07-06
15,2025-07-10
16,2025-07-11
17,2025-07-13
18,2025-07-05
19,2025-07-12
20,2025-07-10
21,2025-07-01
22,2025-07-11
23,2025-07-15
24,2025-07-14
25,2025-07-06
26,2025-07-14
27,2025-07-06
28,2025-07-02
29,2025-07-05
30,2025-07-07
31,2025-07-15
32,2025-07-14
33,2025-07-08
34,2025-07-06
35,2025-07-10
36,2025-07-02
37,2025-07-06
38,2025-07-05
39,2025-07-05
40,2025-07-14
41,2025-07-08
42,2025-07-02
43,2025-07-08
44,2025-07-11
45,2025-07-07
46,2025-07-07
47,2025-07-08
48,2025-07-04
49,2025-07-04
50,2025-07-04
51,2025-07-12
52,2025-07-03
53,2025-07-02
54,2025-07-06
55,2025-07-02
56,2025-07-11
57,2025-07-01
58,2025-07-10
59,2025-07-11
60,2025-07-12
61,2025-07-03
62,2025-07-06
63,2025-07-05
64,2025-07-10
65,2025-07-08
66,2025-07-04
67,2025-07-12
68,2025-07-02
69,2025-07-15
70,2025-07-08
71,2025-07-01
72,2025-07-06
73,2025-07-14
74,2025-07-03
75,2025-07-14
76,2025-07-04
77,2025-07-05
78,2025-07-14
79,2025-07-03
80,2025-07-15
81,2025-07-07
82,2025-07-02
83,2025-07-13
84,2025-07-09
85,2025-07-01
86,2025-07-05
87,2025-07-13
88,2025-07-07
89,2025-07-11
90,2025-07-10
91,2025-07-12
92,2025-07-09
93,2025-07-09
94,2025-07-10
95,2025-07-09
96,2025-07-12
97,2025-07-06
98,2025-07-02
99,2025-07-01
100,2025-07-10
