order_id,order_date
1,2025-07-08
2,2025-07-08
3,2025-07-02
4,2025-07-07
5,2025-07-11
6,2025-07-08
7,2025-07-01
8,2025-07-03
9,2025-07-10
10,2025-07-09
11,2025-07-10
12,2025-07-03
13,2025-07-15
14,2025-07-10
15,2025-07-09
16,2025-07-12
17,2025-07-01
18,2025-07-09
19,2025-07-03
20,2025-07-12
21,2025-07-04
22,2025-07-08
23,2025-07-14
24,2025-07-05
25,2025-07-05
26,2025-07-07
27,2025-07-08
28,2025-07-14
29,2025-07-15
30,2025-07-11
31,2025-07-03
32,2025-07-14
33,2025-07-08
34,2025-07-05
35,2025-07-14
36,2025-07-03
37,2025-07-10
38,2025-07-07
39,2025-07-03
40,2025-07-05
41,2025-07-03
42,2025-07-04
43,2025-07-10
44,2025-07-15
45,2025-07-01
46,2025-07-01
47,2025-07-06
48,2025-07-14
49,2025-07-05
50,2025-07-04
51,2025-07-12
52,2025-07-04
53,2025-07-06
54,2025-07-11
55,2025-07-09
56,2025-07-01
57,2025-07-03
58,2025-07-07
59,2025-07-15
60,2025-07-06
61,2025-07-10
62,2025-07-03
63,2025-07-13
64,2025-07-13
65,2025-07-02
66,2025-07-05
67,2025-07-05
68,2025-07-13
69,2025-07-13
70,2025-07-09
71,2025-07-13
72,2025-07-13
73,2025-07-06
74,2025-07-07
75,2025-07-03
76,2025-07-10
77,2025-07-09
78,2025-07-01
79,2025-07-03
80,2025-07-08
81,2025-07-01
82,2025-07-01
83,2025-07-07
84,2025-07-04
85,2025-07-05
86,2025-07-09
87,2025-07-01
88,2025-07-10
89,2025-07-02
90,2025-07-06
91,2025-07-05
92,2025-07-04
93,2025-07-01
94,2025-07-06
95,2025-07-10
96,2025-07-02
97,2025-07-05
98,2025-07-10
99,2025-07-04
100,2025-07-11
