order_id,order_date
1,2025-07-10
2,2025-07-07
3,2025-07-05
4,2025-07-13
5,2025-07-10
6,2025-07-03
7,2025-07-15
8,2025-07-15
9,2025-07-06
10,2025-07-08
11,2025-07-14
12,2025-07-04
13,2025-07-04
14,2025-07-05
15,2025-07-02
16,2025-07-09
17,2025-07-03
18,2025-07-01
19,2025-07-14
20,2025-07-09
21,2025-07-01
22,2025-07-03
23,2025-07-10
24,2025-07-03
25,2025-07-02
26,2025-07-12
27,2025-07-02
28,2025-07-07
29,2025-07-07
30,2025-07-04
31,2025-07-14
32,2025-07-01
33,2025-07-05
34,2025-07-02
35,2025-07-02
36,2025-07-09
37,2025-07-15
38,2025-07-08
39,2025-07-02
40,2025-07-09
41,2025-07-11
42,2025-07-08
43,2025-07-10
44,2025-07-03
45,2025-07-15
46,2025-07-04
47,2025-07-12
48,2025-07-14
49,2025-07-15
50,2025-07-03
51,2025-07-10
52,2025-07-07
53,2025-07-07
54,2025-07-11
55,2025-07-02
56,2025-07-14
57,2025-07-10
58,2025-07-15
59,2025-07-15
60,2025-07-08
61,2025-07-06
62,2025-07-06
63,2025-07-09
64,2025-07-08
65,2025-07-07
66,2025-07-15
67,2025-07-04
68,2025-07-10
69,2025-07-06
70,2025-07-08
71,2025-07-08
72,2025-07-03
73,2025-07-15
74,2025-07-05
75,2025-07-07
76,2025-07-12
77,2025-07-08
78,2025-07-06
79,2025-07-08
80,2025-07-14
81,2025-07-02
82,2025-07-13
83,2025-07-01
84,2025-07-03
85,2025-07-09
86,2025-07-10
87,2025-07-12
88,2025-07-07
89,2025-07-13
90,2025-07-03
91,2025-07-10
92,2025-07-06
93,2025-07-15
94,2025-07-13
95,2025-07-08
96,2025-07-06
97,2025-07-06
98,2025-07-11
99,2025-07-01
100,2025-07-05
