order_id,order_date
1,2025-07-08
2,2025-07-05
3,2025-07-06
4,2025-07-02
5,2025-07-02
6,2025-07-12
7,2025-07-11
8,2025-07-05
9,2025-07-01
10,2025-07-08
11,2025-07-07
12,2025-07-15
13,2025-07-13
14,2025-07-03
15,2025-07-07
16,2025-07-04
17,2025-07-10
18,2025-07-11
19,2025-07-08
20,2025-07-15
21,2025-07-14
22,2025-07-13
23,2025-07-12
24,2025-07-06
25,2025-07-02
26,2025-07-13
27,2025-07-06
28,2025-07-11
29,2025-07-11
30,2025-07-05
31,2025-07-03
32,2025-07-15
33,2025-07-01
34,2025-07-03
35,2025-07-02
36,2025-07-13
37,2025-07-13
38,2025-07-03
39,2025-07-12
40,2025-07-09
41,2025-07-14
42,2025-07-11
43,2025-07-04
44,2025-07-15
45,2025-07-09
46,2025-07-07
47,2025-07-02
48,2025-07-02
49,2025-07-01
50,2025-07-12
51,2025-07-13
52,2025-07-06
53,2025-07-14
54,2025-07-15
55,2025-07-01
56,2025-07-13
57,2025-07-07
58,2025-07-14
59,2025-07-03
60,2025-07-06
61,2025-07-08
62,2025-07-11
63,2025-07-13
64,2025-07-15
65,2025-07-12
66,2025-07-08
67,2025-07-11
68,2025-07-08
69,2025-07-06
70,2025-07-06
71,2025-07-03
72,2025-07-10
73,2025-07-10
74,2025-07-05
75,2025-07-06
76,2025-07-04
77,2025-07-12
78,2025-07-15
79,2025-07-01
80,2025-07-09
81,2025-07-10
82,2025-07-12
83,2025-07-07
84,2025-07-01
85,2025-07-01
86,2025-07-06
87,2025-07-15
88,2025-07-02
89,2025-07-03
90,2025-07-11
91,2025-07-02
92,2025-07-13
93,2025-07-03
94,2025-07-02
95,2025-07-06
96,2025-07-07
97,2025-07-12
98,2025-07-02
99,2025-07-08
100,2025-07-06
